2.113270044326782227e+00,1.900000000000000000e+01,6.028158664703369141e-01
2.126672506332397461e+00,3.500000000000000000e+01,5.977106690406799316e-01
2.129102468490600586e+00,1.500000000000000000e+01,5.968408584594726562e-01
2.105245113372802734e+00,2.300000000000000000e+01,6.058254837989807129e-01
2.106220483779907227e+00,3.000000000000000000e+01,6.054486036300659180e-01
2.114406585693359375e+00,2.900000000000000000e+01,6.023800373077392578e-01
2.186708450317382812e+00,2.000000000000000000e+01,5.747120976448059082e-01
2.115566015243530273e+00,3.200000000000000000e+01,6.019425392150878906e-01
2.128384351730346680e+00,3.600000000000000000e+01,5.970714688301086426e-01
2.107386827468872070e+00,1.500000000000000000e+01,6.050138473510742188e-01
