2.090056896209716797e+00,1.255449838936328888e-03,6.114875078201293945e-01
2.070067644119262695e+00,7.304435712285339832e-04,6.188853383064270020e-01
2.098067760467529297e+00,5.250062095001339912e-04,6.085072159767150879e-01
2.117119312286376953e+00,8.217489230446517467e-04,6.013669967651367188e-01
2.119365453720092773e+00,7.760962471365928650e-04,6.005070209503173828e-01
2.113147258758544922e+00,6.163116777315735817e-04,6.028478145599365234e-01
2.120868444442749023e+00,7.304435712285339832e-04,5.999456644058227539e-01
2.170462131500244141e+00,2.830468583852052689e-03,5.809487104415893555e-01
2.133162736892700195e+00,1.209797104820609093e-03,5.952774286270141602e-01
2.108529806137084961e+00,1.164144254289567471e-03,6.045808196067810059e-01
