9.697000000000000064e-01,9.695000000000000284e-01,7.119819638319313526e-04,9.360000000000000000e+02,5.342600000000000016e+00
9.698999999999999844e-01,9.704000000000000403e-01,6.952473777346313000e-04,9.140000000000000000e+02,5.348100000000000520e+00
9.684000000000000385e-01,9.687999999999999945e-01,6.701454403810203075e-04,8.810000000000000000e+02,5.353550000000000253e+00
9.697999999999999954e-01,9.698999999999999844e-01,7.074180175550282001e-04,9.300000000000000000e+02,5.418649999999999523e+00
9.681999999999999496e-01,9.696000000000000174e-01,7.074180175550282001e-04,9.300000000000000000e+02,5.344149999999999956e+00
9.686000000000000165e-01,9.708999999999999853e-01,7.142639951780438423e-04,9.390000000000000000e+02,5.348499999999999588e+00
9.689999999999999725e-01,9.697999999999999954e-01,7.287166081368923187e-04,9.580000000000000000e+02,5.344800000000000217e+00
9.687000000000000055e-01,9.691999999999999504e-01,6.906833732500672340e-04,9.080000000000000000e+02,5.364049999999999763e+00
9.678999999999999826e-01,9.696000000000000174e-01,6.678634672425687313e-04,8.780000000000000000e+02,5.359649999999999359e+00
9.701999999999999513e-01,9.703000000000000513e-01,7.173066260293126106e-04,9.430000000000000000e+02,5.366899999999999338e+00
